"REQ_TYPE","REQ_CODE","SUB_CODE","SENTENCE_ATTRIBUTE_CAT","SENTENCE_ATTRIBUTE_ELM","CJA_UNPAID_HOURS","CJA_SUPERVISION_MONTHS","ACTIVITY_DESC"
"N","RPA","3","CJA_REQUIREMENT","PROHIBITED_ACTIVITY","","","Prohibited from associating with named individual(s) "
"N","RPA","4","CJA_REQUIREMENT","PROHIBITED_ACTIVITY","","","Prohibited from approaching or communicating with victim and/or family member wthout prior approval "
"N","RPA","5","CJA_REQUIREMENT","PROHIBITED_ACTIVITY","","","Prohibited from taking work or organised activities (professional or voluntary) which will involve a person under the relevant age"
"N","RPA","6","CJA_REQUIREMENT","PROHIBITED_ACTIVITY","","","Prohibited from approaching or communicating with any child under the relevant age without prior approval"
"N","RPA","7","CJA_REQUIREMENT","PROHIBITED_ACTIVITY","","","Prohibited from residing even for one night in the same household as any child under the relevant age"
"N","RPA","8","CJA_REQUIREMENT","PROHIBITED_ACTIVITY","","","Use OtherComments"
"N","7","701","ACCREDITED_PROGRAMME_NAME","IV21","","","Think First"
"N","7","702","ACCREDITED_PROGRAMME_NAME","IV7","","","Enhanced Thinking Skills (ETS)"
"N","7","703","ACCREDITED_PROGRAMME_NAME","IV10","","","Priestley 1 to 1"
"N","7","704","ACCREDITED_PROGRAMME_NAME","IV25","","","Cognitive Booster"
"N","7","705","ACCREDITED_PROGRAMME_NAME","IV3","","","Controlling Anger & Learning how to Manage it (CALM)"
"N","7","706","ACCREDITED_PROGRAMME_NAME","IV1","","","Aggression Replacement Training (ART)"
"N","7","707","ACCREDITED_PROGRAMME_NAME","IV28","","","Integrated Domestic Abuse (IDAP)"
"N","7","708","ACCREDITED_PROGRAMME_NAME","IV29","","","Domestic Violence CBT"
"N","7","709","ACCREDITED_PROGRAMME_NAME","IV20","","","TV-SOTP"
"N","7","710","ACCREDITED_PROGRAMME_NAME","IV24","","","N-SOTP"
"N","7","711","ACCREDITED_PROGRAMME_NAME","IV22","","","C-SOGP"
"N","7","712","ACCREDITED_PROGRAMME_NAME","IV2","","","Addressing Substance Related Offending (ASRO)"
"N","7","713","ACCREDITED_PROGRAMME_NAME","IV27","","","Offender Substance Abuse (OSAPP)"
"N","7","714","ACCREDITED_PROGRAMME_NAME","IV11","","","Programme for Reducing Individual's Substance Misuse (PRISM)"
"N","7","715","ACCREDITED_PROGRAMME_NAME","IV6","","","Drink Impaired Drivers (DIDS)"
"N","7","716","ACCREDITED_PROGRAMME_NAME","IV46","","","Womens Acquisitive Crime"
"N","7","717","ACCREDITED_PROGRAMME_NAME","IV26","","","Violence Booster"
"N","7","718","ACCREDITED_PROGRAMME_NAME","IV5","","","Cognitive Self Change Block 6"
"N","7","719","ACCREDITED_PROGRAMME_NAME","IV49","","","Internet Sex Offender Treatment Programme (i-SOTP)"
"N","7","720","ACCREDITED_PROGRAMME_NAME","IV47","","","COVAID"
